  #K-Path    Energy        Mo         S        Si         C         O
# Band-Index    1
    0.274  -15.0465     0.131     0.572     0.000     0.000     0.000
    0.285  -15.0436     0.131     0.573     0.000     0.000     0.000
    0.296  -15.0401     0.131     0.572     0.000     0.000     0.000
    0.307  -15.0359     0.131     0.569     0.000     0.000     0.000
    0.318  -15.0311     0.131     0.571     0.000     0.000     0.000
    0.329  -15.0257     0.129     0.575     0.000     0.000     0.000
    0.340  -15.0197     0.131     0.576     0.000     0.000     0.000
    0.351  -15.0131     0.129     0.573     0.000     0.000     0.000
    0.362  -15.0077     0.126     0.581     0.000     0.000     0.000
    0.362  -15.0077     0.126     0.581     0.000     0.000     0.000
    0.384  -14.9970     0.127     0.580     0.000     0.000     0.000
    0.406  -14.9784     0.124     0.578     0.000     0.000     0.000
    0.428  -14.9572     0.128     0.579     0.000     0.000     0.000
    0.450  -14.9335     0.130     0.584     0.000     0.000     0.000
    0.472  -14.9075     0.130     0.584     0.000     0.000     0.000
    0.495  -14.8793     0.129     0.585     0.000     0.000     0.000
    0.517  -14.8488     0.128     0.587     0.000     0.000     0.000
    0.539  -14.8162     0.127     0.590     0.000     0.000     0.000
    0.561  -14.7816     0.127     0.589     0.000     0.000     0.000
    0.583  -14.7450     0.127     0.589     0.000     0.000     0.000
    0.605  -14.7066     0.123     0.591     0.000     0.000     0.000
    0.627  -14.6698     0.126     0.589     0.000     0.000     0.000
 
# Band-Index    4
    0.627  -14.6664     0.123     0.585     0.000     0.000     0.000
    0.605  -14.6983     0.124     0.590     0.000     0.000     0.000
    0.583  -14.7366     0.125     0.587     0.000     0.000     0.000
    0.561  -14.7732     0.124     0.585     0.000     0.000     0.000
    0.539  -14.8078     0.126     0.586     0.000     0.000     0.000
    0.517  -14.8404     0.125     0.593     0.000     0.000     0.000
    0.495  -14.8709     0.125     0.593     0.000     0.000     0.000
    0.472  -14.8992     0.125     0.591     0.000     0.000     0.000
    0.450  -14.9252     0.125     0.589     0.000     0.000     0.000
    0.428  -14.9489     0.125     0.591     0.000     0.000     0.000
    0.406  -14.9702     0.125     0.591     0.000     0.000     0.000
    0.384  -14.9891     0.125     0.591     0.000     0.000     0.000
    0.362  -15.0040     0.125     0.591     0.000     0.000     0.000
    0.362  -15.0040     0.125     0.591     0.000     0.000     0.000
    0.351  -14.9932     0.125     0.583     0.000     0.000     0.000
    0.340  -14.9776     0.125     0.583     0.000     0.000     0.000
    0.329  -14.9612     0.125     0.582     0.000     0.000     0.000
    0.318  -14.9440     0.125     0.580     0.000     0.000     0.000
    0.307  -14.9263     0.126     0.580     0.000     0.000     0.000
    0.296  -14.9081     0.126     0.580     0.000     0.000     0.000
    0.285  -14.8893     0.128     0.581     0.000     0.000     0.000
    0.274  -14.8700     0.126     0.578     0.000     0.000     0.000
    0.263  -14.8501     0.127     0.580     0.000     0.000     0.000
    0.252  -14.8298     0.124     0.579     0.000     0.000     0.000
    0.241  -14.8090     0.128     0.576     0.000     0.000     0.000
    0.230  -14.7881     0.127     0.578     0.000     0.000     0.000
    0.230  -14.7881     0.127     0.578     0.000     0.000     0.000
    0.210  -14.7872     0.125     0.583     0.000     0.000     0.000
    0.191  -14.7845     0.122     0.580     0.000     0.000     0.000
    0.172  -14.7801     0.123     0.580     0.000     0.000     0.000
    0.153  -14.7738     0.124     0.580     0.000     0.000     0.000
    0.134  -14.7659     0.124     0.579     0.000     0.000     0.000
    0.115  -14.7561     0.124     0.584     0.000     0.000     0.000
    0.096  -14.7447     0.125     0.583     0.000     0.000     0.000
    0.077  -14.7315     0.126     0.583     0.000     0.000     0.000
    0.057  -14.7166     0.127     0.586     0.000     0.000     0.000
    0.038  -14.7001     0.126     0.588     0.000     0.000     0.000
    0.019  -14.6822     0.123     0.587     0.000     0.000     0.000
    0.000  -14.6664     0.123     0.585     0.000     0.000     0.000
 
# Band-Index    5
    0.000  -14.6656     0.122     0.591     0.000     0.000     0.000
    0.019  -14.6801     0.122     0.593     0.000     0.000     0.000
    0.038  -14.6988     0.123     0.589     0.000     0.000     0.000
    0.057  -14.7155     0.123     0.591     0.000     0.000     0.000
    0.077  -14.7305     0.124     0.590     0.000     0.000     0.000
    0.096  -14.7438     0.124     0.589     0.000     0.000     0.000
    0.115  -14.7553     0.125     0.591     0.000     0.000     0.000
    0.134  -14.7650     0.126     0.591     0.000     0.000     0.000
    0.153  -14.7730     0.125     0.590     0.000     0.000     0.000
    0.172  -14.7793     0.125     0.589     0.000     0.000     0.000
    0.191  -14.7837     0.124     0.588     0.000     0.000     0.000
    0.210  -14.7864     0.124     0.587     0.000     0.000     0.000
    0.230  -14.7873     0.124     0.587     0.000     0.000     0.000
    0.230  -14.7873     0.124     0.587     0.000     0.000     0.000
    0.241  -14.7659     0.125     0.589     0.000     0.000     0.000
    0.252  -14.7437     0.125     0.589     0.000     0.000     0.000
    0.263  -14.7211     0.125     0.590     0.000     0.000     0.000
    0.274  -14.6980     0.125     0.591     0.000     0.000     0.000
    0.285  -14.6745     0.125     0.593     0.000     0.000     0.000
    0.296  -14.6507     0.125     0.594     0.000     0.000     0.000
    0.307  -14.6264     0.125     0.595     0.000     0.000     0.000
    0.318  -14.6018     0.125     0.597     0.000     0.000     0.000
    0.329  -14.5768     0.125     0.598     0.000     0.000     0.000
    0.340  -14.5514     0.125     0.598     0.000     0.000     0.000
    0.351  -14.5258     0.125     0.600     0.000     0.000     0.000
    0.362  -14.5002     0.121     0.598     0.000     0.000     0.000
    0.362  -14.5002     0.121     0.598     0.000     0.000     0.000
    0.384  -14.5251     0.122     0.595     0.000     0.000     0.000
    0.406  -14.5483     0.123     0.593     0.000     0.000     0.000
    0.428  -14.5694     0.124     0.593     0.000     0.000     0.000
    0.450  -14.5885     0.125     0.593     0.000     0.000     0.000
    0.472  -14.6055     0.125     0.593     0.000     0.000     0.000
    0.495  -14.6203     0.125     0.593     0.000     0.000     0.000
    0.517  -14.6329     0.125     0.591     0.000     0.000     0.000
    0.539  -14.6432     0.126     0.594     0.000     0.000     0.000
    0.561  -14.6513     0.125     0.595     0.000     0.000     0.000
    0.583  -14.6571     0.123     0.592     0.000     0.000     0.000
    0.605  -14.6606     0.121     0.592     0.000     0.000     0.000
    0.627  -14.6656     0.122     0.591     0.000     0.000     0.000
 
# Band-Index    6
    0.627  -14.6575     0.123     0.588     0.000     0.000     0.000
    0.605  -14.6603     0.122     0.593     0.000     0.000     0.000
    0.583  -14.6568     0.123     0.594     0.000     0.000     0.000
    0.561  -14.6511     0.123     0.596     0.000     0.000     0.000
    0.539  -14.6430     0.122     0.591     0.000     0.000     0.000
    0.517  -14.6327     0.121     0.595     0.000     0.000     0.000
    0.495  -14.6201     0.125     0.602     0.000     0.000     0.000
    0.472  -14.6053     0.124     0.601     0.000     0.000     0.000
    0.450  -14.5883     0.122     0.599     0.000     0.000     0.000
    0.428  -14.5692     0.121     0.602     0.000     0.000     0.000
    0.406  -14.5480     0.120     0.604     0.000     0.000     0.000
    0.384  -14.5248     0.120     0.606     0.000     0.000     0.000
    0.362  -14.4997     0.119     0.609     0.000     0.000     0.000
    0.362  -14.4997     0.119     0.609     0.000     0.000     0.000
    0.351  -14.4867     0.120     0.606     0.000     0.000     0.000
    0.340  -14.4730     0.120     0.606     0.000     0.000     0.000
    0.329  -14.4588     0.120     0.607     0.000     0.000     0.000
    0.318  -14.4441     0.120     0.606     0.000     0.000     0.000
    0.307  -14.4290     0.120     0.606     0.000     0.000     0.000
    0.296  -14.4135     0.120     0.605     0.000     0.000     0.000
    0.285  -14.3976     0.120     0.603     0.000     0.000     0.000
    0.274  -14.3813     0.120     0.601     0.000     0.000     0.000
    0.263  -14.3645     0.120     0.600     0.000     0.000     0.000
    0.252  -14.3475     0.120     0.600     0.000     0.000     0.000
    0.241  -14.3300     0.120     0.598     0.000     0.000     0.000
    0.230  -14.3124     0.123     0.596     0.000     0.000     0.000
    0.230  -14.3124     0.123     0.596     0.000     0.000     0.000
    0.210  -14.3480     0.120     0.594     0.000     0.000     0.000
    0.191  -14.3829     0.120     0.594     0.000     0.000     0.000
    0.172  -14.4167     0.120     0.592     0.000     0.000     0.000
    0.153  -14.4493     0.120     0.591     0.000     0.000     0.000
    0.134  -14.4807     0.120     0.589     0.000     0.000     0.000
    0.115  -14.5108     0.120     0.588     0.000     0.000     0.000
    0.096  -14.5395     0.120     0.590     0.000     0.000     0.000
    0.077  -14.5669     0.120     0.595     0.000     0.000     0.000
    0.057  -14.5929     0.120     0.590     0.000     0.000     0.000
    0.038  -14.6176     0.122     0.592     0.000     0.000     0.000
    0.019  -14.6410     0.123     0.590     0.000     0.000     0.000
    0.000  -14.6575     0.123     0.588     0.000     0.000     0.000
 
# Band-Index    7
    0.000  -14.6571     0.123     0.589     0.000     0.000     0.000
    0.019  -14.6399     0.122     0.588     0.000     0.000     0.000
    0.038  -14.6172     0.122     0.597     0.000     0.000     0.000
    0.057  -14.5927     0.122     0.594     0.000     0.000     0.000
    0.077  -14.5667     0.126     0.594     0.000     0.000     0.000
    0.096  -14.5393     0.124     0.599     0.000     0.000     0.000
    0.115  -14.5105     0.124     0.600     0.000     0.000     0.000
    0.134  -14.4804     0.123     0.599     0.000     0.000     0.000
    0.153  -14.4490     0.122     0.598     0.000     0.000     0.000
    0.172  -14.4164     0.121     0.597     0.000     0.000     0.000
    0.191  -14.3826     0.120     0.601     0.000     0.000     0.000
    0.210  -14.3477     0.120     0.604     0.000     0.000     0.000
    0.230  -14.3123     0.120     0.606     0.000     0.000     0.000
    0.230  -14.3123     0.120     0.606     0.000     0.000     0.000
    0.241  -14.3296     0.121     0.610     0.000     0.000     0.000
    0.252  -14.3470     0.123     0.608     0.000     0.000     0.000
    0.263  -14.3641     0.123     0.607     0.000     0.000     0.000
    0.274  -14.3808     0.123     0.605     0.000     0.000     0.000
    0.285  -14.3971     0.123     0.605     0.000     0.000     0.000
    0.296  -14.4130     0.123     0.605     0.000     0.000     0.000
    0.307  -14.4286     0.125     0.603     0.000     0.000     0.000
    0.318  -14.4436     0.125     0.599     0.000     0.000     0.000
    0.329  -14.4583     0.125     0.597     0.000     0.000     0.000
    0.340  -14.4725     0.125     0.596     0.000     0.000     0.000
    0.351  -14.4863     0.125     0.596     0.000     0.000     0.000
    0.362  -14.4995     0.123     0.601     0.000     0.000     0.000
    0.362  -14.4995     0.123     0.601     0.000     0.000     0.000
    0.384  -14.4470     0.125     0.604     0.000     0.000     0.000
    0.406  -14.3932     0.125     0.606     0.000     0.000     0.000
    0.428  -14.3384     0.125     0.608     0.000     0.000     0.000
    0.450  -14.2901     0.121     0.606     0.000     0.000     0.000
    0.472  -14.3410     0.120     0.609     0.000     0.000     0.000
    0.495  -14.3911     0.122     0.605     0.000     0.000     0.000
    0.517  -14.4401     0.124     0.603     0.000     0.000     0.000
    0.539  -14.4880     0.126     0.599     0.000     0.000     0.000
    0.561  -14.5346     0.125     0.601     0.000     0.000     0.000
    0.583  -14.5797     0.126     0.602     0.000     0.000     0.000
    0.605  -14.6232     0.125     0.590     0.000     0.000     0.000
    0.627  -14.6571     0.123     0.589     0.000     0.000     0.000
 
# Band-Index    8
    0.627  -14.6532     0.123     0.588     0.000     0.000     0.000
    0.605  -14.6148     0.124     0.595     0.000     0.000     0.000
    0.583  -14.5713     0.121     0.595     0.000     0.000     0.000
    0.561  -14.5261     0.122     0.598     0.000     0.000     0.000
    0.539  -14.4795     0.122     0.597     0.000     0.000     0.000
    0.517  -14.4317     0.120     0.604     0.000     0.000     0.000
    0.495  -14.3826     0.122     0.603     0.000     0.000     0.000
    0.472  -14.3326     0.122     0.605     0.000     0.000     0.000
    0.450  -14.2829     0.122     0.607     0.000     0.000     0.000
    0.428  -14.2385     0.123     0.612     0.000     0.000     0.000
    0.406  -14.1863     0.122     0.610     0.000     0.000     0.000
    0.384  -14.1337     0.119     0.611     0.000     0.000     0.000
    0.362  -14.0814     0.121     0.608     0.000     0.000     0.000
    0.362  -14.0814     0.121     0.608     0.000     0.000     0.000
    0.351  -14.0987     0.120     0.609     0.000     0.000     0.000
    0.340  -14.1188     0.119     0.610     0.000     0.000     0.000
    0.329  -14.1391     0.119     0.609     0.000     0.000     0.000
    0.318  -14.1592     0.119     0.610     0.000     0.000     0.000
    0.307  -14.1792     0.119     0.611     0.000     0.000     0.000
    0.296  -14.1990     0.118     0.616     0.000     0.000     0.000
    0.285  -14.2186     0.116     0.619     0.000     0.000     0.000
    0.274  -14.2379     0.117     0.613     0.000     0.000     0.000
    0.263  -14.2569     0.117     0.622     0.000     0.000     0.000
    0.252  -14.2756     0.118     0.618     0.000     0.000     0.000
    0.241  -14.2941     0.118     0.619     0.000     0.000     0.000
    0.230  -14.3118     0.117     0.622     0.000     0.000     0.000
    0.230  -14.3118     0.117     0.622     0.000     0.000     0.000
    0.210  -14.2753     0.120     0.621     0.000     0.000     0.000
    0.191  -14.2376     0.120     0.619     0.000     0.000     0.000
    0.172  -14.2545     0.120     0.615     0.000     0.000     0.000
    0.153  -14.3021     0.121     0.606     0.000     0.000     0.000
    0.134  -14.3494     0.125     0.609     0.000     0.000     0.000
    0.115  -14.3962     0.125     0.605     0.000     0.000     0.000
    0.096  -14.4424     0.125     0.601     0.000     0.000     0.000
    0.077  -14.4878     0.125     0.598     0.000     0.000     0.000
    0.057  -14.5324     0.125     0.597     0.000     0.000     0.000
    0.038  -14.5760     0.126     0.595     0.000     0.000     0.000
    0.019  -14.6182     0.123     0.592     0.000     0.000     0.000
    0.000  -14.6532     0.123     0.588     0.000     0.000     0.000
 
# Band-Index    9
    0.000  -14.0398     0.053     0.633     0.000     0.000     0.000
    0.019  -14.0393     0.053     0.633     0.000     0.000     0.000
    0.038  -14.0378     0.053     0.633     0.000     0.000     0.000
    0.057  -14.0354     0.055     0.633     0.000     0.000     0.000
    0.077  -14.0319     0.055     0.636     0.000     0.000     0.000
    0.096  -14.0389     0.117     0.618     0.000     0.000     0.000
    0.115  -14.0797     0.119     0.619     0.000     0.000     0.000
    0.134  -14.1200     0.120     0.611     0.000     0.000     0.000
    0.153  -14.1599     0.124     0.615     0.000     0.000     0.000
    0.172  -14.1991     0.123     0.614     0.000     0.000     0.000
    0.191  -14.2373     0.122     0.609     0.000     0.000     0.000
    0.210  -14.2750     0.120     0.606     0.000     0.000     0.000
    0.230  -14.3115     0.119     0.603     0.000     0.000     0.000
    0.230  -14.3115     0.119     0.603     0.000     0.000     0.000
    0.241  -14.2936     0.119     0.605     0.000     0.000     0.000
    0.252  -14.2752     0.118     0.606     0.000     0.000     0.000
    0.263  -14.2564     0.117     0.610     0.000     0.000     0.000
    0.274  -14.2374     0.117     0.612     0.000     0.000     0.000
    0.285  -14.2181     0.118     0.617     0.000     0.000     0.000
    0.296  -14.1985     0.119     0.612     0.000     0.000     0.000
    0.307  -14.1787     0.119     0.613     0.000     0.000     0.000
    0.318  -14.1587     0.118     0.611     0.000     0.000     0.000
    0.329  -14.1386     0.118     0.613     0.000     0.000     0.000
    0.340  -14.1183     0.120     0.617     0.000     0.000     0.000
    0.351  -14.0982     0.120     0.623     0.000     0.000     0.000
    0.362  -14.0811     0.119     0.618     0.000     0.000     0.000
    0.362  -14.0811     0.119     0.618     0.000     0.000     0.000
    0.384  -14.1251     0.120     0.618     0.000     0.000     0.000
    0.406  -14.1778     0.120     0.616     0.000     0.000     0.000
    0.428  -14.2300     0.120     0.614     0.000     0.000     0.000
    0.450  -14.2816     0.122     0.611     0.000     0.000     0.000
    0.472  -14.2269     0.125     0.613     0.000     0.000     0.000
    0.495  -14.1704     0.125     0.613     0.000     0.000     0.000
    0.517  -14.1136     0.125     0.614     0.000     0.000     0.000
    0.539  -14.0568     0.123     0.619     0.000     0.000     0.000
    0.561  -14.0339     0.055     0.633     0.000     0.000     0.000
    0.583  -14.0371     0.054     0.631     0.000     0.000     0.000
    0.605  -14.0391     0.053     0.632     0.000     0.000     0.000
    0.627  -14.0398     0.053     0.633     0.000     0.000     0.000
 
# Band-Index   10
    0.627  -13.8339     0.114     0.634     0.000     0.000     0.000
    0.605  -13.8877     0.116     0.628     0.000     0.000     0.000
    0.583  -13.9436     0.115     0.628     0.000     0.000     0.000
    0.561  -14.0000     0.116     0.628     0.000     0.000     0.000
    0.539  -14.0293     0.120     0.625     0.000     0.000     0.000
    0.517  -14.0235     0.119     0.621     0.000     0.000     0.000
    0.495  -14.0164     0.115     0.622     0.000     0.000     0.000
    0.472  -14.0080     0.121     0.618     0.000     0.000     0.000
    0.450  -14.0183     0.122     0.618     0.000     0.000     0.000
    0.428  -14.0355     0.121     0.616     0.000     0.000     0.000
    0.406  -14.0511     0.124     0.611     0.000     0.000     0.000
    0.384  -14.0652     0.124     0.612     0.000     0.000     0.000
    0.362  -14.0804     0.117     0.615     0.000     0.000     0.000
    0.362  -14.0804     0.117     0.615     0.000     0.000     0.000
    0.351  -14.0811     0.117     0.615     0.000     0.000     0.000
    0.340  -14.0865     0.117     0.617     0.000     0.000     0.000
    0.329  -14.0912     0.117     0.617     0.000     0.000     0.000
    0.318  -14.0953     0.117     0.619     0.000     0.000     0.000
    0.307  -14.0989     0.118     0.617     0.000     0.000     0.000
    0.296  -14.1020     0.117     0.612     0.000     0.000     0.000
    0.285  -14.1046     0.120     0.620     0.000     0.000     0.000
    0.274  -14.1068     0.120     0.616     0.000     0.000     0.000
    0.263  -14.1085     0.120     0.616     0.000     0.000     0.000
    0.252  -14.1097     0.117     0.620     0.000     0.000     0.000
    0.241  -14.1104     0.120     0.618     0.000     0.000     0.000
    0.230  -14.1106     0.120     0.618     0.000     0.000     0.000
    0.230  -14.1106     0.120     0.618     0.000     0.000     0.000
    0.210  -14.1585     0.120     0.621     0.000     0.000     0.000
    0.191  -14.2065     0.116     0.623     0.000     0.000     0.000
    0.172  -14.1988     0.118     0.624     0.000     0.000     0.000
    0.153  -14.1596     0.120     0.625     0.000     0.000     0.000
    0.134  -14.1198     0.061     0.636     0.000     0.000     0.000
    0.115  -14.0795     0.057     0.639     0.000     0.000     0.000
    0.096  -14.0387     0.056     0.634     0.000     0.000     0.000
    0.077  -13.9978     0.055     0.637     0.000     0.000     0.000
    0.057  -13.9565     0.121     0.626     0.000     0.000     0.000
    0.038  -13.9152     0.117     0.627     0.000     0.000     0.000
    0.019  -13.8739     0.117     0.629     0.000     0.000     0.000
    0.000  -13.8339     0.114     0.634     0.000     0.000     0.000
 
# Band-Index   11
    0.000  -13.8335     0.115     0.632     0.000     0.000     0.000
    0.019  -13.8735     0.116     0.634     0.000     0.000     0.000
    0.038  -13.9149     0.118     0.628     0.000     0.000     0.000
    0.057  -13.9563     0.119     0.624     0.000     0.000     0.000
    0.077  -13.9976     0.121     0.626     0.000     0.000     0.000
    0.096  -14.0275     0.056     0.634     0.000     0.000     0.000
    0.115  -14.0222     0.058     0.633     0.000     0.000     0.000
    0.134  -14.0159     0.058     0.634     0.000     0.000     0.000
    0.153  -14.0087     0.059     0.637     0.000     0.000     0.000
    0.172  -14.0005     0.060     0.637     0.000     0.000     0.000
    0.191  -14.0150     0.124     0.620     0.000     0.000     0.000
    0.210  -14.0626     0.124     0.621     0.000     0.000     0.000
    0.230  -14.1103     0.118     0.618     0.000     0.000     0.000
    0.230  -14.1103     0.118     0.618     0.000     0.000     0.000
    0.241  -14.1101     0.118     0.618     0.000     0.000     0.000
    0.252  -14.1093     0.118     0.620     0.000     0.000     0.000
    0.263  -14.1081     0.118     0.619     0.000     0.000     0.000
    0.274  -14.1065     0.118     0.619     0.000     0.000     0.000
    0.285  -14.1043     0.118     0.614     0.000     0.000     0.000
    0.296  -14.1017     0.118     0.614     0.000     0.000     0.000
    0.307  -14.0985     0.118     0.616     0.000     0.000     0.000
    0.318  -14.0949     0.120     0.617     0.000     0.000     0.000
    0.329  -14.0908     0.119     0.618     0.000     0.000     0.000
    0.340  -14.0861     0.120     0.620     0.000     0.000     0.000
    0.351  -14.0807     0.118     0.617     0.000     0.000     0.000
    0.362  -14.0727     0.117     0.617     0.000     0.000     0.000
    0.362  -14.0727     0.117     0.617     0.000     0.000     0.000
    0.384  -14.0651     0.119     0.620     0.000     0.000     0.000
    0.406  -14.0510     0.118     0.620     0.000     0.000     0.000
    0.428  -14.0354     0.118     0.622     0.000     0.000     0.000
    0.450  -14.0182     0.120     0.621     0.000     0.000     0.000
    0.472  -13.9996     0.118     0.624     0.000     0.000     0.000
    0.495  -13.9794     0.119     0.625     0.000     0.000     0.000
    0.517  -13.9578     0.119     0.623     0.000     0.000     0.000
    0.539  -13.9350     0.118     0.628     0.000     0.000     0.000
    0.561  -13.9109     0.117     0.628     0.000     0.000     0.000
    0.583  -13.8858     0.116     0.628     0.000     0.000     0.000
    0.605  -13.8597     0.115     0.630     0.000     0.000     0.000
    0.627  -13.8335     0.115     0.632     0.000     0.000     0.000
 
# Band-Index   12
    0.627  -13.8332     0.118     0.634     0.000     0.000     0.000
    0.605  -13.8595     0.117     0.629     0.000     0.000     0.000
    0.583  -13.8856     0.116     0.633     0.000     0.000     0.000
    0.561  -13.9108     0.074     0.644     0.000     0.000     0.000
    0.539  -13.9348     0.072     0.643     0.000     0.000     0.000
    0.517  -13.9577     0.071     0.640     0.000     0.000     0.000
    0.495  -13.9793     0.071     0.639     0.000     0.000     0.000
    0.472  -13.9994     0.072     0.637     0.000     0.000     0.000
    0.450  -13.9984     0.100     0.627     0.000     0.000     0.000
    0.428  -13.9876     0.124     0.623     0.000     0.000     0.000
    0.406  -13.9923     0.061     0.638     0.000     0.000     0.000
    0.384  -14.0343     0.064     0.640     0.000     0.000     0.000
    0.362  -14.0724     0.065     0.637     0.000     0.000     0.000
    0.362  -14.0724     0.065     0.637     0.000     0.000     0.000
    0.351  -14.0547     0.065     0.637     0.000     0.000     0.000
    0.340  -14.0283     0.065     0.637     0.000     0.000     0.000
